Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,73,A-32,I 29.86/4:C85,LC 1.2:AR7,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,74,A-33,LC 1.2:AR7/2,PRVP 42.2:,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,75,A-34,S 1.1:,SI 11.2:P31,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,76,A-35,SI 11.2:P65/2,Y 1.1/2:13072-2,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,77,A-36,Y 1.1/2:13072-3,Y 1.1/2:14045,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,78,A-37,Y 1.1/2:14046,Y 3.M53/2:,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,79,A-38,KF101.,KF101. S UPREME COURT,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,81,A-39,D12. A55. 1914 QUARTO,G1036. T5117 QUARTO,Eisenhower A Level Atlases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,82,A-40,G1046. Q UARTO,G1545. Q UARTO,Eisenhower A Level Atlases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,83,A-41,G1546. Q UARTO,G2205. Q UARTO,Eisenhower A Level Atlases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,84,A-42,G2205. Q UARTO,GC83. H3 QUARTO,Eisenhower A Level Atlases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,85,A-43,GC83. H3 QUARTO,QE75. Q UARTO,Eisenhower A Level Atlases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,86,A-44,BF241. T83,G1246. P3,Eisenhower A Level Atlases,BS620. G75 QUARTO,G1237. P6 QUARTO,Eisenhower A Level Atlases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,87,A-45,G1254. N42,GA795. C36,Eisenhower A Level Atlases,G1256. D4 QUARTO,GA781. M38 QUARTO,Eisenhower A Level Atlases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,88,A-46,GA861. Z93 QUARTO,Z6028. B863 QUARTO,Eisenhower A Level Atlases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,89,A-47,I-CE 2:Ac22,I-CE/P239:17/,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,90,A-48,I-CE/P239 17:,I-FAO 29:175/1,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,91,A-49,I-FAO 29:34,I-IBRD 2:C440,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,92,A-50,I-IBRD 2:C441/3,I-IMF 2:F377,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
