Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,286,C-15,QA1. Z56 V.710 PT.1,QA9.45 B651 V.2,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,287,C-16,QA9.45 C54,QA76.59 Z55,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,288,C-17,QA76.591 5.Z48,QA76.758 Y68,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,289,C-18,QA76.758 Z48,QA76.9 A25 C791 1992,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,290,C-19,QA76.9 A25 C791 1993,QA76.9 H85 T36 2007,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,291,C-20,QA76.9 H85 T43 2007,QA188. R631 1980,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,292,C-21,QA188. S17,QA273.6 C651 V.1,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,293,C-22,QA273.6 C661,QA279. T56,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,294,C-23,QA279. T67,QA331. M273 V.3,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,295,C-24,QA331. M273 1977 V.1-3,QA402. S881,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,296,C-25,QA402. S9582,QA612.2 J68 V.17 PT.1-6,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,297,C-26,QA612.2 K71 1990,QA2740. N35 2004,Eisenhower General Collection,QA1. A4641 1987 QUARTO,QA76.59 A35 2005 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,308,C-27,Q125. T31 1963 V.1,Q199. T2 V.17,Eisenhower C Level Reference,Q125. Z99 D52 1980 QUARTO,Q199. N32 INDEX 1930 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,309,C-28,Q223. M399 2010,Q335. R86 2003,Eisenhower C Level Reference,Q220. H5 1972 QUARTO,Q222. J37 1985 QUARTO,Eisenhower C Level Reference,QA5. B57 2002,QA47. V361 1986,Eisenhower C Level Reference,QA5. M36513 1988 V.1 QUARTO,QA47. B6251 1990 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,310,C-29,QC787. P3 H36 1999,QC981.8 G56 D88 2010 V.3,Eisenhower C Level Reference,QC793.5 N4624 M34 1988 QUARTO,QC863.5 A48 2001 QUARTO,Eisenhower C Level Reference,QD1. A51 INDEX V.1-10 A-K,QD1. A51 INDEX V.56-65 P-SOC.,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,311,C-30,QD1. A51 INDEX V.56-65 SOD.-Z,QD1. A51 INDEX V.33 PT.1,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,312,C-31,QD79. C4 D46 1982,QD151. G56 1924 GE SER.2 PT.7,Eisenhower C Level Reference,QD79. C4 E53 2001 QUARTO,QD149. N661 1990 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,313,C-32,"QD151. G56 1924 HE,NE,AR,H",QD151. G56 1924 FORM SUPPL.3 INDEX V.6,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,314,C-33,QD258. O82 1965,QD261. H83 1952 SUPPL. BD.E8C,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,315,C-34,QD261. H83 1952 SUPPL. BD.E8D,QD262. A5 2004,Eisenhower C Level Reference,QD261. M381 1986 QUARTO,QD261. R67 1973 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
