Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21,571,D-127,NA737. S9 T9,NA2543. H42 I46,Eisenhower General Collection,NA737. S9 S9 QUARTO,NA2542. 8.R93 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22,572,D-128,NA2543. H55 G37,NA6761. F586 B56,Eisenhower General Collection,NA2543. J83 QUARTO,NA6751. E38 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23,573,D-129,NA6813. F82 P37661,NA9415. R7 P51,Eisenhower General Collection,NA6800. P436 QUARTO,NA9415. R7 R56 QUARTO,Eisenhower General Collection,NA202. F5 FOLIO,NA7755. P15 FOLIO,Eisenhower General Collection,NB16. C55.C553,NB497. H4 B37,Eisenhower General Collection,NB27. I7 R762 QUARTO,NB497. H4 A4 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,
9,24,574,D-130,NB497. H46 H3,NC248. C3 L63,Eisenhower General Collection,NB497. H46 H6 QUARTO,NC248. C57 J66 QUARTO,Eisenhower General Collection,NB70. R3 FOLIO,NB1810. W5 FOLIO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25,575,D-131,NC248. C67 A4,ND237. C3 A69,Eisenhower General Collection,NC248. C7 A4 QUARTO,ND237. C7 A4 QUARTO,Eisenhower General Collection,NC27. B9 P3 FOLIO,NC2020. Z99 W55 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26,576,D-132,ND237. C3 B68,ND553. B25 A4,Eisenhower General Collection,ND237. C3 B68 QUARTO,ND553. B4 A4 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27,577,D-133,ND553. B43 A3,ND565. A55,Eisenhower General Collection,ND553. A4 QUARTO,ND565. A4813 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,28,578,D-134,ND565. C674,ND623. C2 A4,Eisenhower General Collection,ND565. G27 QUARTO,ND623. C18 P4 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,29,579,D-135,ND623. C2 A4,ND623. V4 H32,Eisenhower General Collection,ND623. C2 AZ4 QUARTO,ND623. V4 F56 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30,580,D-136,ND623. V4 O76,ND696. R8,Eisenhower General Collection,ND623. V4 QUARTO,ND699. A4 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31,581,D-137,ND699. B8 D7,ND1353.5 B691,Eisenhower General Collection,ND699. A4 C33 QUARTO,ND1353.4 W37 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,32,582,D-138,ND1354. D35,ND8805. G32 K86,Eisenhower General Collection,ND1353. 5 G27 QUARTO,ND7628. W6 D45 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,33,583,D-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,584,D-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,585,D-141,ND170. M35 1999 FOLIO,ND3380. V5 T6 1951 FOLIO,Eisenhower General Collection,NE1. P9 NO.57-60 INDEX NO.56-60,NE2115. M6 C5,Eisenhower General Collection,NE45. G4 K35 1991 QUARTO,NE2115. M6 S3 1990 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,586,D-142,NE2115. P4 A6,NE2425. V521,Eisenhower General Collection,NE2148. A73 2003 QUARTO,NE2425. T85 QUARTO,Eisenhower General Collection,NE600. C3 A4 FOLIO,NE1701. S4 FOLIO,Eisenhower General Collection,NH52. A9.K66 QUARTO,NH52. A9.K66 QUARTO,Eisenhower General Collection,NJ1. A52,NJ6238. S37 C37,Eisenhower General Collection,NJ18. B2128 M67 QUARTO,NJ6201. H5 QUARTO,Eisenhower General Collection,NJ314. S98 FOLIO,NJ314. S98 FOLIO,Eisenhower General Collection,NK1. C85,NK4565. H4 1986,Eisenhower General Collection,NK13. V58 B37 QUARTO,NK4497. W32 QUARTO,Eisenhower General Collection,,,,,,,,,,,,
10,3,587,D-143,NK4565. J64,NK9955. B6 C63,Eisenhower General Collection,NK4565. E46 QUARTO,NK9925. P55 A926 QUARTO,Eisenhower General Collection,NK700. B43 FOLIO,NK9964. I85 FOLIO,Eisenhower General Collection,NX1. A IA77,NX180. S6 P8,Eisenhower General Collection,NX1. J46.G37 QUARTO,NX180. S6 A7516 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,
10,4,588,D-144,NX180. S6 P8,NX820. F82 P373614 1983,Eisenhower General Collection,NX303. A1 B731 1994 QUARTO,NX820. 582 P37378 2012 QUARTO,Eisenhower General Collection,NX7. M291995 FOLIO,NX512. S35 A4 FOLIO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,589,D-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,590,D-146,N1. A1,N33. J31983,Eisenhower D Level Art Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,591,D-147,N33. K841 1983 BD. 1,N40. A64 1983 BD. 57 C. 1,Eisenhower D Level Art Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,592,D-148,N40. A64 1983 BD. 58 C. 1,N40. T43 V. 22,Eisenhower D Level Art Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,593,D-149,N40. T43 V. 23,N5300. P4,Eisenhower D Level Art Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,594,D-150,N5300. P4,N6410. P5,Eisenhower D Level Art Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5,595,D-151,N6447. A25,N7092. S93,Eisenhower D Level Art Reference,N6447. A99 QUARTO,N7092. S94 QUARTO,Eisenhower D Level Art Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6,596,D-152,N7092. S94 QUARTO,NA22. B48 QUARTO,Eisenhower D Level Art Reference,N7092. S99,NA22. B49,Eisenhower D Level Art Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7,597,D-153,NA22. B49,NE90. A52,Eisenhower D Level Art Reference,NA22. C1 QUARTO,NE90. B99 QUARTO,Eisenhower D Level Art Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8,598,D-154,NE90. A1 QUARTO,PE1. A1 QUARTO,Eisenhower D Level Art Reference,NE90. R53,PE1625. R3,Eisenhower D Level Art Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,9,599,D-155,PE1640. R4,Z5944. N4 L353,Eisenhower D Level Art Reference,PE1640. R99 QUARTO,Z6. Z9 QUARTO,Eisenhower D Level Art Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,600,Classics Reference,*,*,Eisenhower D Level Classics Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,601,D Level Table,*,*,Eisenhower D Level Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,602,Eisenberg Room,*,*,Eisenhower D Level Near Eastern Reference Eisenberg Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
