Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29,479,D-31,PM6359. M2 QUARTO,PM7816. O37 QUARTO,Eisenhower General Collection,PN1. G73,PO535. C67 V54,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30,480,D-32,PO537. C69 M3,PO1269. T75,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31,481,D-33,PO1271. B58,PO2829. W47,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32,482,D-34,PO2829. Z935,PO3588. B7,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,33,483,D-35,PO3588. C27,PO4484. H64,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34,484,D-36,PO4484. J3,PO5071. M87,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,35,485,D-37,PO5072. B7,PO5907. S84,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,486,D-38,PO5907. U5,PO6037. S22 E6,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,487,D-39,PO6037. S17 S56,PO9272.9 B57 B48,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,488,D-40,PO9499.3 T35,PQ645. O37,Eisenhower General Collection,PO20. O4 QUARTO,PO9605.45 Z99 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,489,D-41,,,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,490,D-42,,,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,491,D-43,PQ374. P63,PQ2124. G35,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,492,D-44,PQ2124. G65,PQ3514. H29 W4,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,493,D-45,PQ3514. H29 Z467,PQ3552. A2 T75,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,494,D-46,PQ3552. A225,PQ3563. O63 L6,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,495,D-47,PQ3563. O6317,PR3337. H4,Eisenhower General Collection,PQ1. Z9 K75 QUARTO,PQ3563. A3182 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,496,D-48,PR3337. H4,PT5. Z5,Eisenhower General Collection,PR92. S2 QUARTO,PR7158. W52 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,497,D-49,,,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,498,D-50,,,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,499,D-51,PT5. Z5,PT1640. K42,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,500,D-52,PT1640. K62,PT4884.2 T9,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,501,D-53,PT4884.2 V57,PT7780. B4,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,502,D-54,PT7780. G34,PT9359. S7 D5 1970,Eisenhower General Collection,PT4. C25 QUARTO,PT3719. B6 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,503,D-55,PT3719. B6 QUARTO,PV7001. F8 QUARTO,Eisenhower General Collection,PV1. B5,PX1735. S8,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,504,D-56,PX1739. H3 1972,PX8844. A2 M87 1991,Eisenhower General Collection,PX475. T3 1829 QUARTO,PX8822. F37 1991 QUARTO,Eisenhower General Collection,PX2458. C475 1957 PT.1 FOLIO,PX2458. C475 1957 PT.1 FOLIO,Eisenhower General Collection,PY61. L35 1982,PY8953. S76 1888,Eisenhower General Collection,PY62. D67 1988 QUARTO,PY7895. P3 J6 1988 QUARTO,Eisenhower General Collection,PY3197. B37 1980 MAPS,PY3197. B37 1980 MAPS,Eisenhower General Collection,P1. A1 F6 1985 V.6,P21. W47 28TH 2011,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,
4,7,505,D-57,P23. H37 2000,P106. A7 1996 V.17,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,506,D-58,P106. A7 1997 V.18,P380. N68 2003,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,507,D-59,P380. S46 1996,P7244. P35 N65 1996,Eisenhower D Level Blue Labels,P23. S78 1990 QUARTO,P6242. P75 1971 QUARTO,Eisenhower D Level Blue Labels,PA1. A1 E94 2004 V.8,PA9. M6 1918 V.46,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,508,D-60,PA9. M6 1919 V.47,PA3490. J3 T.2B,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,509,D-61,PA3490. J3 T.2D,PA6697. A43 B45 2013,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,510,D-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,511,D-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,512,D-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,513,D-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,514,D-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,515,D-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,516,D-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,517,D-69,PC2889. G6,PC5498. G8,Eisenhower D Level Blue Labels,PC779. D53 QUARTO,PC2937. M4 J63 QUARTO,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,518,D-70,PC3941. L573288 QUARTO,PC5412. G73 QUARTO,Eisenhower D Level Blue Labels,PC1926. J3 FOLIO,PC2620. C6 FOLIO,Eisenhower D Level Blue Labels,PD1. J7,PD5625. S81,Eisenhower D Level Blue Labels,PE1. C6,PE3729. U5 W4,Eisenhower D Level Blue Labels,PE776. V3 QUARTO,PE2835. C72 QUARTO,Eisenhower D Level Blue Labels,PE1620. J6 FOLIO,PE1620. J6 FOLIO,Eisenhower D Level Blue Labels,PF4. B6,PF3021. I57,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,
5,7,519,D-71,PF3021. I62,PF5997. Y6 S43,Eisenhower D Level Blue Labels,PF625. W62 QUARTO,PF5936. S45 QUARTO,Eisenhower D Level Blue Labels,PG1. R4,PG3483. I447 A6,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,520,D-72,PG3483. I488 E35,PG9621. Z52 A23,Eisenhower D Level Blue Labels,PG584. S684 QUARTO,PG6729. P6 QUARTO,Eisenhower D Level Blue Labels,PH14. U67,PH5397. E8 A56,Eisenhower D Level Blue Labels,PH1407. S73 QUARTO,PH5177. L3 QUARTO,Eisenhower D Level Blue Labels,PJ1. A4,PJ3103. R4,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,
6,1,521,D-73,PJ3103. R4 V17,PJ9261. M65,Eisenhower D Level Blue Labels,PJ1026. E44 F488 QUARTO,PJ4760. R69 QUARTO,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,522,D-74,PJ4807. A7.D38 QUARTO,PJ7737. M538 QUARTO,Eisenhower D Level Blue Labels,PJ1501. P364 FOLIO,PJ7803. W4 FOLIO,Eisenhower D Level Blue Labels,PK1. I5,PK9201. V31 D8,Eisenhower D Level Blue Labels,PK663. L36 QUARTO,PK6416. L68 QUARTO,Eisenhower D Level Blue Labels,PL1. A2,PL2754. S5 Z7767,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,
6,3,523,D-75,PL2754. S5 Z958,PL8844. K79.A2,Eisenhower D Level Blue Labels,PL406. S35 QUARTO,PL8521. A4 QUARTO,Eisenhower D Level Blue Labels,PM50. D67,PM8956. R4,Eisenhower D Level Blue Labels,PM1371.Z5K36 QUAR TO,PM7854.H34H34 QUARTO,Eisenhower D Level Blue Labels,PN1. A75,PN36. R55 B4,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,
6,4,524,D-76,PN36. S827 P5,PN513. L83,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,525,D-77,PN513. M53,PN1992. 6 S765,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,526,D-78,PN1992.623 4,PN1995.9 P6 A43,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,527,D-79,PN1995. 9 P6B66,PN2287. C5 L94,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,528,D-80,PN2287. C5 M49,PN5499. D3 C36,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,529,D-81,PN5499. G4 H37,PN7882. N7 E45,Eisenhower D Level Blue Labels,PN53. P45 QUARTO,PN6790. S93 T65 QUARTO,Eisenhower D Level Blue Labels,PN1997. 2 A425A425 FOLIO,PN6727. P36 I56FOLIO,Eisenhower D Level Blue Labels,PQ1. A8,PQ245. S7,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,530,D-82,PQ245. S78,PQ2043. Y36,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,531,D-83,PQ2043. T76,PQ2605. I6,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,532,D-84,PQ2605. I6,PQ2673. A3 8416 R46,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13,533,D-85,PQ2673. A38416 R4613,PQ4085. P354,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14,534,D-86,PQ4085. P399,PQ4683. B13.S664,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15,535,D-87,PQ4683. B174.R56,PQ4841. O38 Z46 2011,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,536,D-88,PQ4841. O38 Z57,PQ6001. R45 V.81,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17,537,D-89,PQ6001. R45 V.82,PQ6352. M87,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18,616,D-90,PQ6352. N485,PQ6623. A3.Z62,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19,622,D-91,PQ6623. A3 Z6223,PQ7081. A1 P76,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,538,D-92,PQ7081. A IR33,PQ7797. R486.A6,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,539,D-93,PQ7797. R486.F37,PQ9942. 9.A46E8,Eisenhower D Level Blue Labels,PQ41. D53 QUARTO,PQ4586. A7 A75 QUARTO,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,540,D-94,PQ4610. B5 A516 QUARTO,PQ9900. A52.A37 QUARTO,Eisenhower D Level Blue Labels,PQ4638. F02 FOLIO,PQ9155. A2 C3 FOLIO,Eisenhower D Level Blue Labels,PR1. B75,PR437. H355,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,541,D-95,PR435. L58,PR1174. B9,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,542,D-96,PR1174. N6,PR3541. L27 S67,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,624,D-97,PR3543. M2,PR5442. P5 V33,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,626,D-98,PR5442. P64 R63,PR6052. R62 C358,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,543,D-99,PR6052. R94 P73,PR6107. L37 H67,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
