Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,
2,22,145,B-41,DC35. P3 A23,DC148. T44 1854 V.2,Eisenhower General Collection,,,,,,,,,
2,23,146,B-42,DC148. T44 1854 V.3,DC611. N219 C48 2001,Eisenhower General Collection,,,,,,,,,
3,0,147,B-43,DC611. N43 N41 1989 T.1,DC983. H54 1987,Eisenhower General Collection,DC3. C64 V.38 QUARTO,DC801. V778 T66 2003 V.2 QUARTO,Eisenhower General Collection,DC3. F8 1964 V.1-8 FOLIO,DC707. V7 FOLIO,Eisenhower General Collection,,,
3,1,148,B-44,DD1. E8 2013 V.68,DD247. S342 Z451 1994,Eisenhower General Collection,,,,,,,,,
3,2,149,B-45,DD247. S345 A3 1967,DD901. S97.S241 1988,Eisenhower General Collection,,,,,,,,,
3,3,150,B-46,DD901. T297.P7 1931,DF547. E85 E97 1995,Eisenhower General Collection,DD1.6 B47 I513 2012 QUARTO,DE86. N48 2013 QUARTO,Eisenhower General Collection,DD3. M8 D49 FOLIO,DD345. S48 FOLIO,Eisenhower General Collection,,,
3,4,151,B-47,DF547. E85 S67 1984,DG270. S3 1997,Eisenhower General Collection,DF10. A4 V.31 QUARTO,DF951. P85 H57 2005 QUARTO,Eisenhower General Collection,,,,,,
3,5,152,B-48,DG270. S64 2009,DG558. I88 V.2,Eisenhower General Collection,,,,,,,,,
3,6,153,B-49,DG561. F933 2000,DG975. B57 C37 V.19-20,Eisenhower General Collection,,,,,,,,,
3,7,154,B-50,DG975. B57.C37 V.21,DH925. L8 H658 2003,Eisenhower General Collection,DG11. M6 V.52 PT.1 QUARTO,DH188. G8 A4 V.6 QUARTO,Eisenhower General Collection,,,,,,
3,8,155,B-51,DH188. G8.A4 V.7 QUARTO,DJK76.5 M67 2012 QUARTO,Eisenhower General Collection,DJ1. N26 INDEX V.1-9,DK254. T6 C37 1975,Eisenhower General Collection,,,,,,
3,9,156,B-52,DK254. T6 C49 2010,DP1. H5 NO.168-170 1998 V.48,Eisenhower General Collection,DK3.5 H36 1966 QUARTO,DL971. O8 N62 BD.1 HFT.11 QUARTO,Eisenhower General Collection,,,,,,
3,10,157,B-53,DP1. H5 1989 V.49 NO.171-173,DP302. M8 T63 1996 T.3,Eisenhower General Collection,,,,,,,,,
3,11,158,B-54,DP302. N26 F34 1997,DR98. D7 S2 1949,Eisenhower General Collection,DP3. A15 QUARTO,DQ851. W9 R358 1998 QUARTO,Eisenhower General Collection,DP52. E88 2001 FOLIO,DP502. N4 1970 V.2 FOLIO,Eisenhower General Collection,,,
3,12,159,B-55,DR203. A16,DS51. K7.K86313 1993X,Eisenhower General Collection,DR1.5 N48 2015 QUARTO,DR2275. V3 D66 2015 QUARTO,Eisenhower General Collection,,,,,,
3,13,160,B-56,DS51. K7 K87 1997,DS110. N45 G55 1995,Eisenhower General Collection,,,,,,,,,
3,14,161,B-57,DS110. N4 J46 1997,DS135. P63 A13 1999,Eisenhower General Collection,,,,,,,,,
3,15,162,B-58,DS135. P63 A132 1998,DS421. S96 2013 V.2,Eisenhower General Collection,,,,,,,,,
3,16,163,B-59,DS421. T43 2008,DS557. A5 B3 1967,Eisenhower General Collection,,,,,,,,,
3,17,164,B-60,DS557. A5 B8 1958,DS734.7 R46 V.21 INDEX V.17-21,Eisenhower General Collection,,,,,,,,,
3,18,165,B-61,DS734.7 R46 V.22,DS778. F3 S45 1966,Eisenhower General Collection,,,,,,,,,
3,19,166,B-62,DS778. F8 A25 1967 V.5,DS975. V7 V53 2012,Eisenhower General Collection,DS2.5 Y3 1968 QUARTO,DS70.5 A7 K54 2014 QUARTO,Eisenhower General Collection,,,,,,
3,20,167,B-63,DS70. E65.A96 QUARTO,DS932.23 C43 QUARTO,Eisenhower General Collection,DS11. H68 1932 PT.1 SER.1 FOLIO,DS827. C5 R4 FOLIO,Eisenhower General Collection,DT1. A21 1985 V.55,DT31. K48 1987,Eisenhower General Collection,,,
3,21,168,B-64,DT31. K65 2002,DT433.545 K55 R63 1997,Eisenhower General Collection,,,,,,,,,
3,22,169,B-65,DT433.545 L85 C637 1992,DT1928. R5 1996,Eisenhower General Collection,,,,,,,,,
3,23,170,B-66,DT1929. G36 1996,E11. A55 2009-10 V.66,Eisenhower General Collection,DT1.5 I49 1969 QUARTO,DX227. R6 1987 QUARTO,Eisenhower General Collection,DT1.5 U465 1971 V.1 FOLIO,DU110. A97 1987 V.6 FOLIO,Eisenhower General Collection,,,
3,24,171,B-67,E11. A55 2010 V.67,E99. N3 M6871 1994,Eisenhower General Collection,,,,,,,,,
3,25,172,B-68,E99. N3 N26 2009,E173. S6 V.51,Eisenhower General Collection,,,,,,,,,
3,26,173,B-69,E173. T94 1969,E184. I6 K571 1986,Eisenhower General Collection,,,,,,,,,
3,27,174,B-70,E184. I6 L4 1966,E185.97 D73 A26 1971 V.2,Eisenhower General Collection,,,,,,,,,
4,0,175,B-71,E185.97 D73 A31 1968,E302.5 R57 1980,Eisenhower General Collection,,,,,,,,,
4,1,176,B-72,E302.5 T9 T9,E467.1 A2 A33 1964 V.6,Eisenhower General Collection,,,,,,,,,
4,2,177,B-73,E467.1 A2 A33 1964 V.7,E745. M371 1981 V.7,Eisenhower General Collection,,,,,,,,,
4,3,178,B-74,E745. P3 D46 1996,E886.2 M474 2001,Eisenhower General Collection,,,,,,,,,
4,4,179,B-75,E886.2 M67 1997,F146. P408 V.3,Eisenhower General Collection,E18. M67 1988 T.1 QUARTO,E887. C55 W35 2014 QUARTO,Eisenhower General Collection,E110. K92 1812 FOLIO,E839.3 S581 1977 FOLIO,Eisenhower General Collection,,,
4,5,180,B-76,F146. P5 2005 V.71,F316.23 C65 W341 1985,Eisenhower General Collection,,,,,,,,,
4,6,181,B-77,F317. E9.D6 1947,F1033. K53 P5 1960 V.4,Eisenhower General Collection,,,,,,,,,
4,7,182,B-78,F1033. M126 T377 2015,F1401. W44 2015,Eisenhower General Collection,,,,,,,,,
4,8,183,B-79,F1401.5 A7 1972 T.1,F1926. T791 1986,Eisenhower General Collection,,,,,,,,,
4,9,184,B-80,F1927. B53 1999,F2846. S2 J6 1968,Eisenhower General Collection,,,,,,,,,
4,10,185,B-81,F2846. S2 L8 1945,F3799. N4 W5 1965,Eisenhower General Collection,F7. N4761 1982 V.1 QUARTO,F3741. B7 P3 QUARTO,Eisenhower General Collection,F149. H73 1945 V.3 FOLIO,F2122. T8 V.22-24 NO.5 FOLIO,Eisenhower General Collection,,,
4,11,186,B-82,FC106. M9 R44 2015,G5741. S1 H57 1994,Eisenhower General Collection,,,,,,,,,
4,12,187,B-83,G38. G3 V66 2008 QUARTO,GF851. P33 2013 QUARTO,Eisenhower General Collection,G140.5 F76 2011 FOLIO,GA893.5 V54 M33 2007 FOLIO,Eisenhower General Collection,GA6. D55 1997,GA1668. G73 2002,Eisenhower General Collection,GF1.5 J65 1974,GN1. R688 1994 V.32,Eisenhower General Collection
4,13,188,B-84,GN1. R9 V.15,GN357. D57 1996,Eisenhower General Collection,,,,,,,,,
4,14,189,B-85,GN357. F37 1999,GN700. S9 1969,Eisenhower General Collection,,,,,,,,,
4,15,190,B-86,GN720. G731 1983,GT525. G7 1971,Eisenhower General Collection,GN2. M52 NO.33 QUARTO,GR880. C6 1999 QUARTO,Eisenhower General Collection,GN340. M6 1962 BD.1 FOLIO,GN799. P4 H31 PLATES 1960 FOLIO,Eisenhower General Collection,,,
4,16,191,B-87,GT525. H646 1999,H1. A4 V.345,Eisenhower General Collection,GT77. B71 1913 QUARTO,GV1853.3 C22 D47 2007 QUARTO,Eisenhower General Collection,GT596. S55 2012 FOLIO,GT1582. B471 1988 FOLIO,Eisenhower General Collection,,,
4,17,192,B-88,H1. A4 V.346,H62. A1 R47 2008-09 V.33-34,Eisenhower General Collection,,,,,,,,,
4,18,193,B-89,H62. A1 S78 V.6 2000,HA4731. A4 1991B,Eisenhower General Collection,H31. C7 AV.51 QUARTO,HA202. A37 1960 SUPPL. QUARTO,Eisenhower General Collection,,,,,,
4,19,194,B-90,HA203. A3 1945A QUARTO,HA4727. I561 QUARTO,Eisenhower General Collection,HB1. A51 2007 V.97 .NO.1-2,HB41. V6 HFT.391,Eisenhower General Collection,,,,,,
4,20,195,B-91,HB41. V6 HFT.392,HB145. H521 1990,Eisenhower General Collection,,,,,,,,,
4,21,196,B-92,HB145. H54 1974,HB851. N32 1973 V.2,Eisenhower General Collection,,,,,,,,,
4,22,197,B-93,HB851. O7 1983,HC10. W826 2006 V.18,Eisenhower General Collection,HB61. S634 1994 QUARTO,HB3730. W661 1981 QUARTO,Eisenhower General Collection,,,,,,
4,23,198,B-94,HC11. B8 NO.2,HC79. P6.B5396 2012,Eisenhower General Collection,,,,,,,,,
5,0,199,B-95,HC79. P6 B67 2001,HC101. S8 1986 V.66 NO.7-12,Eisenhower General Collection,,,,,,,,,
5,1,200,B-96,HC101. S8 SUPPL. 1986,HC108. P6 P5 1963 V.3,Eisenhower General Collection,,,,,,,,,
6,0,201,B-97,HC108. P9 H4 1952,HC240. A1 E87 NO.74 1998:SEPT.,Eisenhower General Collection,,,,,,,,,
6,1,202,B-98,HC240. A1 J68 V.14 1985,HC244. O85 2001 V.46,Eisenhower General Collection,,,,,,,,,
7,0,203,B-99,HC244. O85 2002 V.47,HC305. D76 2006,Eisenhower General Collection,,,,,,,,,
7,1,204,B-100,HC305. E371 1974,HC431. D4 NO.5-7,Eisenhower General Collection,,,,,,,,,
7,2,205,B-101,HC431. E19 2008-09 V.43 NO.42-52,HD21. U3 1959,Eisenhower General Collection,HC13. C62 1975 QUARTO,HC1060. Z9 D8 2002 QUARTO,Eisenhower General Collection,,,,,,
7,3,206,B-102,HD28. A24 2009 V.52 NO.1-3,HD30.37 I45 2000,Eisenhower General Collection,,,,,,,,,
7,4,207,B-103,HD30.37 I56 2000,HD58.8 M554 2003,Eisenhower General Collection,,,,,,,,,
7,5,208,B-104,HD58.8 M56 2014,HD75. N396 2003,Eisenhower General Collection,,,,,,,,,
7,6,209,B-105,HD75. N43 2001,HD1511. G7 R531 1982 V.2,Eisenhower General Collection,,,,,,,,,
7,7,210,B-106,HD1511. G72 H537 1991,HD2769.2 U6 W661 1994,Eisenhower General Collection,,,,,,,,,
7,8,211,B-107,HD2771. N49 NO.1430,HD5503. A76 V.122,Eisenhower General Collection,,,,,,,,,
7,9,212,B-108,HD5503. A76 V.123,HD6509. H6 R87 2001,Eisenhower General Collection,,,,,,,,,
7,10,213,B-109,HD6509. H6 S561 1991,HD8039. M6152 W35 1998,Eisenhower General Collection,,,,,,,,,
7,11,214,B-110,HD8039. M62.C551 1992,HD8429. M241 1992 V.2,Eisenhower General Collection,,,,,,,,,
7,12,215,B-111,HD8429. R36 X1981,HD9685. U5 I54 1986,Eisenhower General Collection,,,,,,,,,
7,13,216,B-112,HD9685. U5 J671 1983,HE1. H5 2009 V.3,Eisenhower General Collection,HD20.3 S87 1964 QUARTO,HD9999. I493.U6655 1998 QUARTO,Eisenhower General Collection,,,,,,
7,14,217,B-113,HE1. J57 2011 V.45,HF1001. H4451 1984,Eisenhower General Collection,HE11. C623 1999 QUARTO,HE9803. A4 N37 2006 QUARTO,Eisenhower General Collection,,,,,,
7,15,218,B-114,HF1001. I53 1996 V.1,HF3495. D48 2006,Eisenhower General Collection,,,,,,,,,
7,16,219,B-115,HF3495. F381 1987,HF5415.13 G681 1991,Eisenhower General Collection,,,,,,,,,
7,17,220,B-116,HF5415.13 H2764 2014,HF5549.5 A34 F63 2001,Eisenhower General Collection,,,,,,,,,
7,18,221,B-117,HF5549.5 A34 G641 1979,HF6580. K384 2002,Eisenhower General Collection,HF54.5 B49 2009 QUARTO,HF5636. F491 2010 QUARTO,Eisenhower General Collection,,,,,,
7,19,222,B-118,HF5636. H67 2009 QUARTO,HF6977. S871 1990 CODEBOOK WAVE6 QUARTO,Eisenhower General Collection,HF1001. P741 1971 V.1 FOLIO,HF1001. P741 1971 V.2 FOLIO,Eisenhower General Collection,HG1. A7 2000 V.10,HG925. W45 2001,Eisenhower General Collection,,,
7,20,223,B-119,HG925. Z47 2006,HG2858. L6 J6 1963,Eisenhower General Collection,,,,,,,,,
7,21,224,B-120,,,,,,,,,,,,
8,0,225,B-121,,,,,,,,,,,,
9,0,246,B-122,HG2861. E87 1991 ENERO,HG3853. N67 2010,Eisenhower General Collection,,,,,,,,,
10,0,226,B-123,HG3853. P385 2001,HG4523. I574 2003 V.3,Eisenhower General Collection,,,,,,,,,
10,1,227,B-124,HG4523. I5836 2002,HJ2051. G84 2000,Eisenhower General Collection,HG108. H36 2010 V.1 QUARTO,HG9629. Z9 A865 1993 QUARTO,Eisenhower General Collection,HG4058. W3 B66 2004 FOLIO,HG4058. W3 B66 2014 FOLIO,Eisenhower General Collection,,,
10,2,228,B-125,HJ2051. H325 1997,HM51. S55 1976,Eisenhower General Collection,HJ141. R47 2012 QUARTO,HJ9733. B73 2013 QUARTO,Eisenhower General Collection,,,,,,
10,3,229,B-126,HM51. S63,HM548. M37 2015,Eisenhower General Collection,,,,,,,,,
10,4,230,B-127,HM548. N485 2005,HN79. H135 M67 1974,Eisenhower General Collection,HM17. S721 1981 QUARTO,HM1271. L27 2011 QUARTO,Eisenhower General Collection,,,,,,
10,5,231,B-128,HN79. I8 H47 1996,HN981. V5 V56 2008,Eisenhower General Collection,HN10. R7 D83 2008 QUARTO,HN980. P64 1975 QUARTO,Eisenhower General Collection,,,,,,
10,6,232,B-129,HQ1. J6 V.67 NO.2 2005,HQ767.5 U5 A2691 1995,Eisenhower General Collection,,,,,,,,,
10,7,233,B-130,HQ767.5 U5 A281 1994,HQ1172. H351 1992,Eisenhower General Collection,,,,,,,,,
10,8,234,B-131,HQ1172. H36 2009,HQ1781. H641 1991,Eisenhower General Collection,,,,,,,,,
10,9,235,B-132,HQ1781. P2 T54 1975,HT690. G3 G461 1990,Eisenhower General Collection,HQ5.5 K64 1980 QUARTO,HS2330. K63 N494 2007 QUARTO,Eisenhower General Collection,,,,,,
10,10,236,B-133,HT690. G3 G8 1956,HV751. A7 E551 1994,Eisenhower General Collection,HT65. U73 1996 QUARTO,HT1581. M281 1992 QUARTO,Eisenhower General Collection,HT1126. M36 1989 FOLIO,HT1126. M36 1989 FOLIO,Eisenhower General Collection,,,
10,11,237,B-134,HV751. A6 S35 1997,HV6285. D531 1992,Eisenhower General Collection,,,,,,,,,
10,12,238,B-135,HV6285. G65 2001,HV6545. S381 1976,Eisenhower General Collection,,,,,,,,,
10,13,239,B-136,,,,,,,,,,,,
10,14,240,B-137,,,,,,,,,,,,
10,15,241,B-138,HV6545. S381 1994,HV8593. P52 2007,Eisenhower General Collection,,,,,,,,,
10,16,242,B 139,HV8593. P641 1995,HX276. M284 ABT.1 BD.26 APPARAT,Eisenhower General Collection,HV10. I57 2012 QUARTO,HV9960. M6 S77 2013 QUARTO,Eisenhower General Collection,HV6432.7 M47 2006 FOLIO,HV6432.7 M47 2006 FOLIO,Eisenhower General Collection,,,
10,17,243,B-140,HX276. M284 ABT.1 BD.27 TEXT,JA71. A474 1996,Eisenhower General Collection,HX56. C6 1950 QUARTO,HX915. B3 A28 1961 PT.2 QUARTO,Eisenhower General Collection,HX536. J65 FOLIO,HX536. J65 FOLIO,Eisenhower General Collection,,,
10,18,244,B-141,JA71. A4751 1990,JC265. G42 F28 2001,Eisenhower General Collection,JA61. P578 X1990 QUARTO,JA86. P64 2009 QUARTO,Eisenhower General Collection,,,,,,
10,19,245,B-142,JC265. G42 G74 2001,JC599. A36 H87 2004,Eisenhower General Collection,,,,,,,,,
11,0,248,B-143,JC599. A36 H88 2003,JK21. A462 1990,Eisenhower General Collection,JC49. N8 1987 QUARTO,JF2112. D43 C6 1996 QUARTO,Eisenhower General Collection,,,,,,
12,0,247,B-144,JK21. A4631 1978,JK361. B9 1950,Eisenhower General Collection,,,,,,,,,
13,0,249,B-145,JK361. D6 1971,JK585. B681 1987,Eisenhower General Collection,,,,,,,,,
13,1,250,B-146,JK585. C56 2012,JK1561. F82 1928,Eisenhower General Collection,,,,,,,,,
13,2,251,B-147,JK1561. F83 1970,JK2265. K44 1947,Eisenhower General Collection,,,,,,,,,
13,3,252,B-148,JK2265. K44 1964,JK9937. A4 1972,Eisenhower General Collection,JK1. C64 V.12 IND V.1-12 QUARTO,JK1967. P391 1990 QUARTO,Eisenhower General Collection,,,,,,
13,4,253,B-149,JK1967. V68 1984 CODEBOOK QUARTO,JL3481. L67 1997 QUARTO,Eisenhower General Collection,JK1021. H5 FOLIO,JK1021. H5 FOLIO,Eisenhower General Collection,JL3. H8 1970,JL3898. S6 H471 1980,Eisenhower General Collection,,,
13,5,254,B-150,JN3. A5 V.33,JN96. A58 D56 2006,Eisenhower General Collection,,,,,,,,,
13,6,255,B-151,JN96. A58 D58 2001,JN906. G85 2002,Eisenhower General Collection,,,,,,,,,
13,7,256,B-152,JN906. H43 2006,JN3007. M65 I78 1973,Eisenhower General Collection,,,,,,,,,
13,8,257,B-153,JN3007. P25 B76 1968,JN3971.5 A98 C586 1997,Eisenhower General Collection,,,,,,,,,
13,9,258,B-154,JN3971.5 A98 D447 1997,JN6598. K6 A16 1988 NO.7-12 INDEX,Eisenhower General Collection,,,,,,,,,
13,10,259,B-155,JN6598. K6 A16 1989 NO.1-12,JQ1502. M371 1980,Eisenhower General Collection,JN30. B49 2001 V.1 QUARTO,JN8719. S75 1955 QUARTO,Eisenhower General Collection,,,,,,
13,11,260,B-156,JQ1502. S361 1985,JQ2898. U52 B37 1971,Eisenhower General Collection,,,,,,,,,
14,0,261,B-157,JQ2922. H471 1990,JV7633. P38 1997,Eisenhower General Collection,JQ96. A61 K56 1981 QUARTO,JS7205. A27 K66 2001 QUARTO,Eisenhower General Collection,JS93. G74 1958 FOLIO,JS93. G74 1958 FOLIO,Eisenhower General Collection,,,
14,1,262,B-158,JV7633. S36 2001,JX636. A2 1953,Eisenhower General Collection,JV2027. L28 2004 QUARTO,JV9125. C6 1991 QUARTO,Eisenhower General Collection,JV4227. S52 1955 V.1 FOLIO,JV4227. S52 1955 V.4 FOLIO,Eisenhower General Collection,,,
14,2,263,B-159,JX636. A2 1961 PT.1 INDEX 1955-57,JX5908. B37 1972,Eisenhower General Collection,,,,,,,,,
14,3,264,B-160,JX5908. B42 1968,JZ6405. W66 W65 2011,Eisenhower General Collection,JX233. A5 1915-1918 QUARTO,JZ632. B772 1999 V.6 QUARTO,Eisenhower General Collection,,,,,,
14,4,265,B-161,JZ632. B772 1999 V.7 QUARTO,L914.5 B671 1991 QUARTO,Eisenhower General Collection,L3. P79 1992,LA728.7 F5 1998,Eisenhower General Collection,,,,,,
14,5,266,B-162,LA728.7 R32 2000,LB1050. R275 1993 V.5,Eisenhower General Collection,LA11. H48 1991 QUARTO,LA1058.7 H544 2014 QUARTO,Eisenhower General Collection,,,,,,
14,6,267,B-163,LB1050. R275 1994 V.6,LB1631. A345 2007,Eisenhower General Collection,,,,,,,,,
14,7,268,B-164,LB1631. A72 2015,LB2806.2 G72 1975,Eisenhower General Collection,,,,,,,,,
14,8,269,B-165,LB2806.2 H56 1997,LC192.6 Q85 1999,Eisenhower General Collection,LB15. D371 1982 QUARTO,LB3620. A93 1998 QUARTO,Eisenhower General Collection,,,,,,
14,9,270,B-166,LC192.6 R37 2006,LC4600. A41 1981-82 V.86,Eisenhower General Collection,,,,,,,,,
14,10,271,B-167,LC4600. A41 1982-83 V.87,ML166. R6 1954,Eisenhower General Collection,LC65. E2535 2010 QUARTO,M2092.2 M4 1968 V.3 QUARTO,Eisenhower General Collection,LD4608. P95 FOLIO,M3.1 C37 1976 FOLIO,Eisenhower General Collection,,,
14,11,272,B-168,ML166. S45 1969,MT950. K46 2007,Eisenhower General Collection,ML1. R651 1993 QUARTO,MT860. J32 2002 QUARTO,Eisenhower General Collection,ML410. B78 E25 1986 FOLIO,ML410. B78 E25 1986 FOLIO,Eisenhower General Collection,,,
51,0,273,B Level Table,*,*,Eisenhower B Level Table,,,,,,,,,
